event_id,facility_id,medicine_code,stockout_date,estimated_unmet_demand
STK-000033,FAC-0001,RIF_INH,2023-01-02,7.0
STK-000034,FAC-0002,EPINEPHRINE,2023-01-14,1.0
STK-000035,FAC-0002,EPINEPHRINE,2023-01-19,1.0
STK-000036,FAC-0002,PARACETAMOL,2023-01-01,13.0
STK-000037,FAC-0002,PARACETAMOL,2023-01-02,31.0
STK-000038,FAC-0002,PARACETAMOL,2023-01-03,28.0
STK-000039,FAC-0002,RIF_INH,2023-01-01,2.0
STK-000040,FAC-0002,RIF_INH,2023-01-02,2.0
STK-000041,FAC-0003,EPINEPHRINE,2023-01-01,1.0
STK-000042,FAC-0003,EPINEPHRINE,2023-01-02,1.0
STK-000043,FAC-0003,EPINEPHRINE,2023-01-04,1.0
STK-000044,FAC-0003,EPINEPHRINE,2023-01-05,1.0
STK-000045,FAC-0003,EPINEPHRINE,2023-01-08,2.0
STK-000046,FAC-0003,EPINEPHRINE,2023-01-09,1.0
STK-000047,FAC-0003,EPINEPHRINE,2023-01-12,2.0
STK-000048,FAC-0003,EPINEPHRINE,2023-01-16,1.0
STK-000049,FAC-0003,EPINEPHRINE,2023-02-02,2.0
STK-000050,FAC-0003,EPINEPHRINE,2023-02-03,2.0
STK-000051,FAC-0003,EPINEPHRINE,2023-02-05,1.0
STK-000052,FAC-0003,EPINEPHRINE,2023-02-06,2.0
STK-000053,FAC-0003,EPINEPHRINE,2023-02-24,2.0
STK-000054,FAC-0003,EPINEPHRINE,2023-02-26,1.0
STK-000055,FAC-0003,EPINEPHRINE,2023-02-27,1.0
STK-000056,FAC-0003,EPINEPHRINE,2023-03-02,1.0
STK-000057,FAC-0003,EPINEPHRINE,2023-03-03,2.0
STK-000058,FAC-0003,EPINEPHRINE,2023-04-03,2.0
STK-000059,FAC-0003,EPINEPHRINE,2023-04-24,2.0
STK-000060,FAC-0003,EPINEPHRINE,2023-04-27,1.0
STK-000061,FAC-0003,EPINEPHRINE,2023-04-28,2.0
STK-000062,FAC-0003,EPINEPHRINE,2023-05-02,2.0
STK-000063,FAC-0003,EPINEPHRINE,2023-05-22,1.0
STK-000064,FAC-0003,EPINEPHRINE,2023-05-25,1.0
STK-000065,FAC-0003,EPINEPHRINE,2023-05-26,1.0
STK-000066,FAC-0003,EPINEPHRINE,2023-05-30,1.0
STK-000067,FAC-0003,EPINEPHRINE,2023-05-31,1.0
STK-000068,FAC-0003,EPINEPHRINE,2023-06-01,2.0
STK-000069,FAC-0003,EPINEPHRINE,2023-06-02,1.0
STK-000070,FAC-0003,EPINEPHRINE,2023-06-04,1.0
STK-000071,FAC-0003,EPINEPHRINE,2023-06-05,1.0
STK-000072,FAC-0003,EPINEPHRINE,2023-06-06,1.0
STK-000073,FAC-0003,EPINEPHRINE,2023-06-08,1.0
STK-000074,FAC-0003,EPINEPHRINE,2023-06-11,1.0
STK-000075,FAC-0003,EPINEPHRINE,2023-06-13,1.0
STK-000076,FAC-0003,EPINEPHRINE,2023-06-14,1.0
STK-000077,FAC-0003,EPINEPHRINE,2023-06-15,1.0
STK-000078,FAC-0003,EPINEPHRINE,2023-07-23,1.0
STK-000079,FAC-0003,EPINEPHRINE,2023-07-26,1.0
STK-000080,FAC-0003,EPINEPHRINE,2023-07-27,1.0
STK-000081,FAC-0003,EPINEPHRINE,2023-07-29,1.0
STK-000082,FAC-0003,EPINEPHRINE,2023-08-13,1.0
STK-000083,FAC-0003,EPINEPHRINE,2023-08-14,1.0
STK-000084,FAC-0003,EPINEPHRINE,2023-08-15,1.0
STK-000085,FAC-0003,EPINEPHRINE,2023-08-19,1.0
STK-000086,FAC-0003,EPINEPHRINE,2023-08-24,1.0
STK-000087,FAC-0003,EPINEPHRINE,2023-08-27,1.0
STK-000088,FAC-0003,EPINEPHRINE,2023-08-29,2.0
STK-000089,FAC-0003,EPINEPHRINE,2023-08-30,1.0
STK-000090,FAC-0003,EPINEPHRINE,2023-08-31,1.0
STK-000091,FAC-0003,EPINEPHRINE,2023-10-05,1.0
STK-000092,FAC-0003,EPINEPHRINE,2023-10-06,1.0
STK-000093,FAC-0003,EPINEPHRINE,2023-10-24,1.0
STK-000094,FAC-0003,EPINEPHRINE,2023-10-25,1.0
STK-000095,FAC-0003,EPINEPHRINE,2023-10-28,1.0
STK-000096,FAC-0003,EPINEPHRINE,2023-10-29,1.0
STK-000097,FAC-0003,EPINEPHRINE,2023-10-30,1.0
STK-000098,FAC-0003,EPINEPHRINE,2023-11-10,1.0
STK-000099,FAC-0003,EPINEPHRINE,2023-11-11,1.0
STK-000100,FAC-0003,EPINEPHRINE,2023-11-12,1.0
STK-000101,FAC-0003,EPINEPHRINE,2023-11-18,1.0
STK-000102,FAC-0003,EPINEPHRINE,2023-11-23,1.0
STK-000103,FAC-0003,EPINEPHRINE,2023-11-29,1.0
STK-000104,FAC-0003,EPINEPHRINE,2023-12-01,2.0
STK-000105,FAC-0003,EPINEPHRINE,2023-12-02,1.0
STK-000106,FAC-0003,EPINEPHRINE,2023-12-14,1.0
STK-000107,FAC-0003,EPINEPHRINE,2023-12-15,1.0
STK-000108,FAC-0003,EPINEPHRINE,2023-12-16,1.0
STK-000109,FAC-0003,EPINEPHRINE,2023-12-19,1.0
STK-000110,FAC-0003,EPINEPHRINE,2023-12-20,2.0
STK-000111,FAC-0003,EPINEPHRINE,2023-12-22,2.0
STK-000112,FAC-0003,EPINEPHRINE,2023-12-23,1.0
STK-000113,FAC-0003,EPINEPHRINE,2023-12-24,2.0
STK-000114,FAC-0003,EPINEPHRINE,2023-12-30,1.0
STK-000115,FAC-0003,PARACETAMOL,2023-01-01,197.0
STK-000116,FAC-0003,PARACETAMOL,2023-01-02,143.0
STK-000117,FAC-0003,PARACETAMOL,2023-01-03,142.0
STK-000118,FAC-0003,PARACETAMOL,2023-01-04,137.0
STK-000119,FAC-0003,PARACETAMOL,2023-01-05,148.0
STK-000120,FAC-0003,PARACETAMOL,2023-01-06,142.0
STK-000121,FAC-0003,PARACETAMOL,2023-01-07,200.0
STK-000122,FAC-0003,PARACETAMOL,2023-01-08,152.0
STK-000123,FAC-0003,PARACETAMOL,2023-01-09,163.0
STK-000124,FAC-0003,PARACETAMOL,2023-01-10,160.0
STK-000125,FAC-0003,PARACETAMOL,2023-01-11,182.0
STK-000126,FAC-0003,PARACETAMOL,2023-01-12,163.0
STK-000127,FAC-0003,PARACETAMOL,2023-01-13,135.0
STK-000128,FAC-0003,PARACETAMOL,2023-01-14,153.0
STK-000129,FAC-0003,PARACETAMOL,2023-01-15,134.0
STK-000130,FAC-0003,PARACETAMOL,2023-01-16,149.0
STK-000131,FAC-0003,PARACETAMOL,2023-01-17,167.0
STK-000132,FAC-0003,PARACETAMOL,2023-01-18,161.0
STK-000133,FAC-0003,PARACETAMOL,2023-01-19,141.0
STK-000134,FAC-0003,PARACETAMOL,2023-01-20,185.0
STK-000135,FAC-0003,PARACETAMOL,2023-01-21,119.0
STK-000136,FAC-0003,PARACETAMOL,2023-07-16,317.0
STK-000137,FAC-0003,PARACETAMOL,2023-07-17,377.0
STK-000138,FAC-0003,PARACETAMOL,2023-07-18,528.0
STK-000139,FAC-0003,PARACETAMOL,2023-07-19,509.0
STK-000140,FAC-0003,PARACETAMOL,2023-07-20,592.0
STK-000141,FAC-0003,PARACETAMOL,2023-07-21,528.0
STK-000142,FAC-0003,PARACETAMOL,2023-07-22,470.0
STK-000143,FAC-0003,PARACETAMOL,2023-07-23,474.0
STK-000144,FAC-0003,PARACETAMOL,2023-07-24,381.0
STK-000145,FAC-0003,PARACETAMOL,2023-07-25,497.0
STK-000146,FAC-0003,PARACETAMOL,2023-07-26,520.0
STK-000147,FAC-0003,PARACETAMOL,2023-07-27,572.0
STK-000148,FAC-0003,PARACETAMOL,2023-07-28,541.0
STK-000149,FAC-0003,PARACETAMOL,2023-07-29,596.0
STK-000150,FAC-0003,PARACETAMOL,2023-08-08,220.0
STK-000151,FAC-0003,PARACETAMOL,2023-08-09,559.0
STK-000152,FAC-0003,PARACETAMOL,2023-08-10,389.0
STK-000153,FAC-0003,PARACETAMOL,2023-08-11,606.0
STK-000154,FAC-0003,PARACETAMOL,2023-08-12,640.0
STK-000155,FAC-0003,PARACETAMOL,2023-08-13,556.0
STK-000156,FAC-0003,PARACETAMOL,2023-08-14,702.0
STK-000157,FAC-0003,PARACETAMOL,2023-08-15,646.0
STK-000158,FAC-0003,PARACETAMOL,2023-08-16,599.0
STK-000159,FAC-0003,PARACETAMOL,2023-08-17,616.0
STK-000160,FAC-0003,PARACETAMOL,2023-08-18,584.0
STK-000161,FAC-0003,PARACETAMOL,2023-08-19,591.0
STK-000162,FAC-0003,PARACETAMOL,2023-08-20,503.0
STK-000163,FAC-0003,PARACETAMOL,2023-08-21,592.0
STK-000164,FAC-0003,PARACETAMOL,2023-08-22,518.0
STK-000165,FAC-0003,PARACETAMOL,2023-08-23,567.0
STK-000166,FAC-0003,PARACETAMOL,2023-08-24,509.0
STK-000167,FAC-0003,PARACETAMOL,2023-08-25,654.0
STK-000168,FAC-0003,PARACETAMOL,2023-08-26,603.0
STK-000169,FAC-0003,PARACETAMOL,2023-08-27,572.0
STK-000170,FAC-0003,PARACETAMOL,2023-08-28,516.0
STK-000171,FAC-0003,PARACETAMOL,2023-08-29,619.0
STK-000172,FAC-0003,PARACETAMOL,2023-08-30,647.0
STK-000173,FAC-0003,PARACETAMOL,2023-08-31,539.0
STK-000174,FAC-0003,PARACETAMOL,2023-09-01,510.0
STK-000175,FAC-0003,PARACETAMOL,2023-09-02,768.0
STK-000176,FAC-0003,PARACETAMOL,2023-09-03,593.0
STK-000177,FAC-0003,PARACETAMOL,2023-09-04,517.0
STK-000178,FAC-0003,PARACETAMOL,2023-09-05,728.0
STK-000179,FAC-0003,PARACETAMOL,2023-09-06,636.0
STK-000180,FAC-0003,PARACETAMOL,2023-09-07,510.0
STK-000181,FAC-0003,PARACETAMOL,2023-09-08,630.0
STK-000182,FAC-0003,PARACETAMOL,2023-09-09,708.0
STK-000183,FAC-0003,PARACETAMOL,2023-09-10,636.0
STK-000184,FAC-0003,PARACETAMOL,2023-09-11,610.0
STK-000185,FAC-0003,PARACETAMOL,2023-09-12,501.0
STK-000186,FAC-0003,PARACETAMOL,2023-09-13,569.0
STK-000187,FAC-0003,PARACETAMOL,2023-09-14,522.0
STK-000188,FAC-0003,PARACETAMOL,2023-09-23,83.0
STK-000189,FAC-0003,PARACETAMOL,2023-09-24,546.0
STK-000190,FAC-0003,PARACETAMOL,2023-09-25,605.0
STK-000191,FAC-0003,PARACETAMOL,2023-09-26,641.0
STK-000192,FAC-0003,PARACETAMOL,2023-09-27,579.0
STK-000193,FAC-0003,PARACETAMOL,2023-09-28,451.0
STK-000194,FAC-0003,PARACETAMOL,2023-09-29,594.0
STK-000195,FAC-0003,PARACETAMOL,2023-09-30,522.0
STK-000196,FAC-0003,PARACETAMOL,2023-10-01,563.0
STK-000197,FAC-0003,PARACETAMOL,2023-10-13,456.0
STK-000198,FAC-0003,PARACETAMOL,2023-10-14,346.0
STK-000199,FAC-0003,PARACETAMOL,2023-10-15,507.0
STK-000200,FAC-0003,PARACETAMOL,2023-10-16,495.0
STK-000201,FAC-0003,PARACETAMOL,2023-10-17,489.0
STK-000202,FAC-0003,PARACETAMOL,2023-10-18,410.0
STK-000203,FAC-0003,PARACETAMOL,2023-10-19,387.0
STK-000204,FAC-0003,PARACETAMOL,2023-10-20,260.0
STK-000205,FAC-0003,PARACETAMOL,2023-10-21,358.0
STK-000206,FAC-0003,PARACETAMOL,2023-10-22,357.0
STK-000207,FAC-0003,PARACETAMOL,2023-10-23,384.0
STK-000208,FAC-0003,PARACETAMOL,2023-10-24,412.0
STK-000209,FAC-0003,PARACETAMOL,2023-10-25,399.0
STK-000210,FAC-0003,PARACETAMOL,2023-10-26,329.0
STK-000211,FAC-0003,PARACETAMOL,2023-10-27,370.0
STK-000212,FAC-0003,PARACETAMOL,2023-10-28,315.0
STK-000213,FAC-0003,PARACETAMOL,2023-10-29,338.0
STK-000214,FAC-0003,PARACETAMOL,2023-10-30,386.0
STK-000215,FAC-0003,PARACETAMOL,2023-11-18,146.0
STK-000216,FAC-0003,PARACETAMOL,2023-11-19,186.0
STK-000217,FAC-0003,PARACETAMOL,2023-11-20,207.0
STK-000218,FAC-0003,PARACETAMOL,2023-11-21,207.0
STK-000219,FAC-0003,PARACETAMOL,2023-11-22,204.0
STK-000220,FAC-0003,PARACETAMOL,2023-11-23,162.0
STK-000221,FAC-0003,PARACETAMOL,2023-11-24,191.0
STK-000222,FAC-0003,PARACETAMOL,2023-11-25,160.0
STK-000223,FAC-0003,PARACETAMOL,2023-11-26,205.0
STK-000224,FAC-0003,PARACETAMOL,2023-11-27,215.0
STK-000225,FAC-0003,PARACETAMOL,2023-11-28,209.0
STK-000226,FAC-0003,PARACETAMOL,2023-11-29,183.0
STK-000227,FAC-0003,PARACETAMOL,2023-11-30,142.0
STK-000228,FAC-0003,PARACETAMOL,2023-12-01,138.0
STK-000229,FAC-0003,PARACETAMOL,2023-12-02,170.0
STK-000230,FAC-0003,PARACETAMOL,2023-12-03,161.0
STK-000231,FAC-0003,PARACETAMOL,2023-12-04,186.0
STK-000232,FAC-0003,PARACETAMOL,2023-12-05,169.0
STK-000233,FAC-0003,RIF_INH,2023-01-01,8.0
STK-000234,FAC-0003,RIF_INH,2023-01-02,8.0
STK-000235,FAC-0003,RIF_INH,2023-01-03,11.0
STK-000236,FAC-0003,RIF_INH,2023-01-04,8.0
STK-000237,FAC-0003,RIF_INH,2023-01-05,8.0
STK-000238,FAC-0003,RIF_INH,2023-01-06,11.0
STK-000239,FAC-0003,RIF_INH,2023-01-07,14.0
STK-000240,FAC-0003,RIF_INH,2023-01-08,9.0
STK-000241,FAC-0003,RIF_INH,2023-01-09,13.0
STK-000242,FAC-0003,RIF_INH,2023-01-10,10.0
STK-000243,FAC-0003,RIF_INH,2023-01-11,9.0
STK-000244,FAC-0003,RIF_INH,2023-01-12,5.0
STK-000245,FAC-0003,RIF_INH,2023-01-13,7.0
STK-000246,FAC-0003,RIF_INH,2023-01-14,11.0
STK-000247,FAC-0003,RIF_INH,2023-01-15,7.0
STK-000248,FAC-0003,RIF_INH,2023-01-16,13.0
STK-000249,FAC-0003,RIF_INH,2023-01-17,6.0
STK-000250,FAC-0003,RIF_INH,2023-01-18,11.0
STK-000251,FAC-0003,RIF_INH,2023-01-19,12.0
STK-000252,FAC-0004,EPINEPHRINE,2023-02-01,2.0
STK-000253,FAC-0004,EPINEPHRINE,2023-02-02,1.0
STK-000254,FAC-0004,EPINEPHRINE,2023-11-13,1.0
STK-000255,FAC-0004,PARACETAMOL,2023-01-01,90.0
STK-000256,FAC-0004,PARACETAMOL,2023-01-02,80.0
STK-000257,FAC-0004,PARACETAMOL,2023-01-03,55.0
STK-000258,FAC-0004,PARACETAMOL,2023-01-04,77.0
STK-000259,FAC-0004,PARACETAMOL,2023-01-05,70.0
STK-000260,FAC-0004,PARACETAMOL,2023-01-06,102.0
STK-000261,FAC-0004,PARACETAMOL,2023-01-07,78.0
STK-000262,FAC-0004,RIF_INH,2023-01-01,6.0
STK-000263,FAC-0004,RIF_INH,2023-01-02,2.0
STK-000264,FAC-0004,RIF_INH,2023-01-03,11.0
STK-000265,FAC-0004,RIF_INH,2023-01-04,8.0
STK-000266,FAC-0005,EPINEPHRINE,2023-01-10,1.0
STK-000267,FAC-0005,EPINEPHRINE,2023-01-12,1.0
STK-000268,FAC-0005,EPINEPHRINE,2023-01-23,1.0
STK-000269,FAC-0005,PARACETAMOL,2023-01-01,22.0
STK-000270,FAC-0005,PARACETAMOL,2023-01-02,26.0
STK-000271,FAC-0005,PARACETAMOL,2023-01-03,39.0
STK-000272,FAC-0005,PARACETAMOL,2023-01-04,27.0
STK-000273,FAC-0005,PARACETAMOL,2023-01-05,26.0
STK-000274,FAC-0005,RIF_INH,2023-01-02,1.0
STK-000275,FAC-0005,RIF_INH,2023-01-04,1.0
STK-000276,FAC-0005,RIF_INH,2023-01-05,1.0
STK-000277,FAC-0006,EPINEPHRINE,2023-02-02,1.0
STK-000278,FAC-0006,EPINEPHRINE,2023-03-01,2.0
STK-000279,FAC-0006,EPINEPHRINE,2023-03-02,1.0
STK-000280,FAC-0006,EPINEPHRINE,2023-05-30,1.0
STK-000281,FAC-0006,EPINEPHRINE,2023-05-31,2.0
STK-000282,FAC-0006,EPINEPHRINE,2023-06-01,1.0
STK-000283,FAC-0006,EPINEPHRINE,2023-07-25,1.0
STK-000284,FAC-0006,EPINEPHRINE,2023-07-28,1.0
STK-000285,FAC-0006,EPINEPHRINE,2023-07-29,1.0
STK-000286,FAC-0006,EPINEPHRINE,2023-08-28,1.0
STK-000287,FAC-0006,EPINEPHRINE,2023-08-29,2.0
STK-000288,FAC-0006,EPINEPHRINE,2023-10-24,1.0
STK-000289,FAC-0006,EPINEPHRINE,2023-10-25,1.0
STK-000290,FAC-0006,EPINEPHRINE,2023-10-27,1.0
STK-000291,FAC-0006,EPINEPHRINE,2023-11-19,1.0
STK-000292,FAC-0006,EPINEPHRINE,2023-11-23,1.0
STK-000293,FAC-0006,EPINEPHRINE,2023-11-24,2.0
STK-000294,FAC-0006,EPINEPHRINE,2023-11-25,3.0
STK-000295,FAC-0006,EPINEPHRINE,2023-11-28,1.0
STK-000296,FAC-0006,EPINEPHRINE,2023-11-29,1.0
STK-000297,FAC-0006,EPINEPHRINE,2023-12-26,1.0
STK-000298,FAC-0006,EPINEPHRINE,2023-12-27,2.0
STK-000299,FAC-0006,PARACETAMOL,2023-01-01,106.0
STK-000300,FAC-0006,PARACETAMOL,2023-01-02,120.0
STK-000301,FAC-0006,PARACETAMOL,2023-01-03,139.0
STK-000302,FAC-0006,PARACETAMOL,2023-01-04,120.0
STK-000303,FAC-0006,PARACETAMOL,2023-01-05,107.0
STK-000304,FAC-0006,PARACETAMOL,2023-01-06,109.0
STK-000305,FAC-0006,PARACETAMOL,2023-01-07,120.0
STK-000306,FAC-0006,PARACETAMOL,2023-01-08,109.0
STK-000307,FAC-0006,PARACETAMOL,2023-01-09,119.0
STK-000308,FAC-0006,PARACETAMOL,2023-01-10,145.0
STK-000309,FAC-0006,PARACETAMOL,2023-01-11,108.0
STK-000310,FAC-0006,PARACETAMOL,2023-01-12,133.0
STK-000311,FAC-0006,PARACETAMOL,2023-01-13,120.0
STK-000312,FAC-0006,PARACETAMOL,2023-08-26,138.0
STK-000313,FAC-0006,PARACETAMOL,2023-08-27,334.0
STK-000314,FAC-0006,PARACETAMOL,2023-08-28,510.0
STK-000315,FAC-0006,PARACETAMOL,2023-08-29,401.0
STK-000316,FAC-0006,PARACETAMOL,2023-09-12,51.0
STK-000317,FAC-0006,PARACETAMOL,2023-09-13,339.0
STK-000318,FAC-0006,PARACETAMOL,2023-09-14,377.0
STK-000319,FAC-0006,PARACETAMOL,2023-09-15,387.0
STK-000320,FAC-0006,PARACETAMOL,2023-09-16,363.0
STK-000321,FAC-0006,PARACETAMOL,2023-09-17,413.0
STK-000322,FAC-0006,PARACETAMOL,2023-09-18,398.0
STK-000323,FAC-0006,PARACETAMOL,2023-09-19,399.0
STK-000324,FAC-0006,PARACETAMOL,2023-09-20,402.0
STK-000325,FAC-0006,PARACETAMOL,2023-09-21,386.0
STK-000326,FAC-0006,PARACETAMOL,2023-09-22,415.0
STK-000327,FAC-0006,PARACETAMOL,2023-09-23,280.0
STK-000328,FAC-0006,PARACETAMOL,2023-09-24,292.0
STK-000329,FAC-0006,PARACETAMOL,2023-09-25,339.0
STK-000330,FAC-0006,PARACETAMOL,2023-09-26,314.0
STK-000331,FAC-0006,PARACETAMOL,2023-09-27,388.0
STK-000332,FAC-0006,PARACETAMOL,2023-10-12,185.0
STK-000333,FAC-0006,PARACETAMOL,2023-10-13,356.0
STK-000334,FAC-0006,PARACETAMOL,2023-10-14,277.0
STK-000335,FAC-0006,PARACETAMOL,2023-10-15,287.0
STK-000336,FAC-0006,PARACETAMOL,2023-10-16,329.0
STK-000337,FAC-0006,PARACETAMOL,2023-10-17,321.0
STK-000338,FAC-0006,PARACETAMOL,2023-10-18,267.0
STK-000339,FAC-0006,PARACETAMOL,2023-10-19,317.0
STK-000340,FAC-0006,PARACETAMOL,2023-10-20,301.0
STK-000341,FAC-0006,PARACETAMOL,2023-10-21,256.0
STK-000342,FAC-0006,PARACETAMOL,2023-10-22,205.0
STK-000343,FAC-0006,PARACETAMOL,2023-10-23,223.0
STK-000344,FAC-0006,PARACETAMOL,2023-10-24,213.0
STK-000345,FAC-0006,PARACETAMOL,2023-10-25,178.0
STK-000346,FAC-0006,PARACETAMOL,2023-10-26,244.0
STK-000347,FAC-0006,PARACETAMOL,2023-10-27,331.0
STK-000348,FAC-0006,PARACETAMOL,2023-10-28,234.0
STK-000349,FAC-0006,PARACETAMOL,2023-10-29,249.0
STK-000350,FAC-0006,PARACETAMOL,2023-10-30,295.0
STK-000351,FAC-0006,PARACETAMOL,2023-10-31,212.0
STK-000352,FAC-0006,PARACETAMOL,2023-11-01,306.0
STK-000353,FAC-0006,PARACETAMOL,2023-11-02,173.0
STK-000354,FAC-0006,PARACETAMOL,2023-11-03,226.0
STK-000355,FAC-0006,PARACETAMOL,2023-11-04,216.0
STK-000356,FAC-0006,RIF_INH,2023-01-01,4.0
STK-000357,FAC-0006,RIF_INH,2023-01-02,8.0
STK-000358,FAC-0006,RIF_INH,2023-01-03,7.0
STK-000359,FAC-0006,RIF_INH,2023-01-04,10.0
STK-000360,FAC-0007,EPINEPHRINE,2023-01-02,1.0
STK-000361,FAC-0007,EPINEPHRINE,2023-01-24,1.0
STK-000362,FAC-0007,EPINEPHRINE,2023-01-25,1.0
STK-000363,FAC-0007,EPINEPHRINE,2023-01-27,1.0
STK-000364,FAC-0007,EPINEPHRINE,2023-01-28,1.0
STK-000365,FAC-0007,EPINEPHRINE,2023-01-30,1.0
STK-000366,FAC-0007,EPINEPHRINE,2023-03-04,2.0
STK-000367,FAC-0007,EPINEPHRINE,2023-03-05,1.0
STK-000368,FAC-0007,EPINEPHRINE,2023-03-08,1.0
STK-000369,FAC-0007,EPINEPHRINE,2023-03-12,1.0
STK-000370,FAC-0007,EPINEPHRINE,2023-03-13,1.0
STK-000371,FAC-0007,EPINEPHRINE,2023-03-16,1.0
STK-000372,FAC-0007,EPINEPHRINE,2023-03-26,3.0
STK-000373,FAC-0007,EPINEPHRINE,2023-06-28,1.0
STK-000374,FAC-0007,EPINEPHRINE,2023-06-30,1.0
STK-000375,FAC-0007,EPINEPHRINE,2023-07-01,1.0
STK-000376,FAC-0007,EPINEPHRINE,2023-07-03,1.0
STK-000377,FAC-0007,EPINEPHRINE,2023-07-27,1.0
STK-000378,FAC-0007,EPINEPHRINE,2023-07-28,2.0
STK-000379,FAC-0007,EPINEPHRINE,2023-07-29,1.0
STK-000380,FAC-0007,EPINEPHRINE,2023-09-24,1.0
STK-000381,FAC-0007,EPINEPHRINE,2023-10-20,1.0
STK-000382,FAC-0007,EPINEPHRINE,2023-10-24,1.0
STK-000383,FAC-0007,EPINEPHRINE,2023-10-25,1.0
STK-000384,FAC-0007,EPINEPHRINE,2023-10-28,1.0
STK-000385,FAC-0007,EPINEPHRINE,2023-11-06,1.0
STK-000386,FAC-0007,EPINEPHRINE,2023-12-21,2.0
STK-000387,FAC-0007,EPINEPHRINE,2023-12-28,1.0
STK-000388,FAC-0007,EPINEPHRINE,2023-12-29,1.0
STK-000389,FAC-0007,PARACETAMOL,2023-01-01,100.0
STK-000390,FAC-0007,PARACETAMOL,2023-01-02,136.0
STK-000391,FAC-0007,PARACETAMOL,2023-01-03,125.0
STK-000392,FAC-0007,PARACETAMOL,2023-02-18,98.0
STK-000393,FAC-0007,PARACETAMOL,2023-02-19,92.0
STK-000394,FAC-0007,PARACETAMOL,2023-02-20,105.0
STK-000395,FAC-0007,PARACETAMOL,2023-02-21,91.0
STK-000396,FAC-0007,PARACETAMOL,2023-02-22,109.0
STK-000397,FAC-0007,PARACETAMOL,2023-02-23,109.0
STK-000398,FAC-0007,PARACETAMOL,2023-02-24,112.0
STK-000399,FAC-0007,PARACETAMOL,2023-02-25,121.0
STK-000400,FAC-0007,PARACETAMOL,2023-02-26,99.0
STK-000401,FAC-0007,PARACETAMOL,2023-02-27,124.0
STK-000402,FAC-0007,PARACETAMOL,2023-02-28,121.0
STK-000403,FAC-0007,PARACETAMOL,2023-03-01,107.0
STK-000404,FAC-0007,PARACETAMOL,2023-08-28,168.0
STK-000405,FAC-0007,PARACETAMOL,2023-08-29,377.0
STK-000406,FAC-0007,PARACETAMOL,2023-08-30,373.0
STK-000407,FAC-0007,PARACETAMOL,2023-08-31,378.0
STK-000408,FAC-0007,PARACETAMOL,2023-09-01,345.0
STK-000409,FAC-0007,PARACETAMOL,2023-09-02,317.0
STK-000410,FAC-0007,PARACETAMOL,2023-09-03,433.0
STK-000411,FAC-0007,PARACETAMOL,2023-09-04,462.0
STK-000412,FAC-0007,PARACETAMOL,2023-09-05,370.0
STK-000413,FAC-0007,PARACETAMOL,2023-09-06,341.0
STK-000414,FAC-0007,PARACETAMOL,2023-09-07,350.0
STK-000415,FAC-0007,PARACETAMOL,2023-09-08,342.0
STK-000416,FAC-0007,PARACETAMOL,2023-09-09,396.0
STK-000417,FAC-0007,PARACETAMOL,2023-09-10,415.0
STK-000418,FAC-0007,PARACETAMOL,2023-09-11,489.0
STK-000419,FAC-0007,PARACETAMOL,2023-09-12,388.0
STK-000420,FAC-0007,PARACETAMOL,2023-09-13,321.0
