facility_id,date,patient_consultations,medicine_code,quantity_dispensed,consumption_id
FAC-0001,2023-03-27,46,PARACETAMOL,77,CON-0000086
FAC-0001,2023-03-28,48,PARACETAMOL,79,CON-0000087
FAC-0001,2023-03-29,47,PARACETAMOL,85,CON-0000088
FAC-0001,2023-03-30,44,PARACETAMOL,95,CON-0000089
FAC-0001,2023-03-31,59,PARACETAMOL,104,CON-0000090
FAC-0001,2023-04-01,70,PARACETAMOL,109,CON-0000091
FAC-0001,2023-04-02,58,PARACETAMOL,102,CON-0000092
FAC-0001,2023-04-03,63,PARACETAMOL,115,CON-0000093
FAC-0001,2023-04-04,55,PARACETAMOL,103,CON-0000094
FAC-0001,2023-04-05,49,PARACETAMOL,89,CON-0000095
FAC-0001,2023-04-06,41,PARACETAMOL,56,CON-0000096
FAC-0001,2023-04-07,47,PARACETAMOL,95,CON-0000097
FAC-0001,2023-04-08,54,PARACETAMOL,87,CON-0000098
FAC-0001,2023-04-09,54,PARACETAMOL,96,CON-0000099
FAC-0001,2023-04-10,40,PARACETAMOL,63,CON-0000100
FAC-0001,2023-04-11,48,PARACETAMOL,93,CON-0000101
FAC-0001,2023-04-12,52,PARACETAMOL,83,CON-0000102
FAC-0001,2023-04-13,45,PARACETAMOL,70,CON-0000103
FAC-0001,2023-04-14,51,PARACETAMOL,85,CON-0000104
FAC-0001,2023-04-15,60,PARACETAMOL,99,CON-0000105
FAC-0001,2023-04-16,49,PARACETAMOL,77,CON-0000106
FAC-0001,2023-04-17,45,PARACETAMOL,69,CON-0000107
FAC-0001,2023-04-18,54,PARACETAMOL,119,CON-0000108
FAC-0001,2023-04-19,45,PARACETAMOL,107,CON-0000109
FAC-0001,2023-04-20,45,PARACETAMOL,87,CON-0000110
FAC-0001,2023-04-21,40,PARACETAMOL,74,CON-0000111
FAC-0001,2023-04-22,49,PARACETAMOL,75,CON-0000112
FAC-0001,2023-04-23,51,PARACETAMOL,82,CON-0000113
FAC-0001,2023-04-24,43,PARACETAMOL,66,CON-0000114
FAC-0001,2023-04-25,43,PARACETAMOL,57,CON-0000115
FAC-0001,2023-04-26,43,PARACETAMOL,68,CON-0000116
FAC-0001,2023-04-27,59,PARACETAMOL,108,CON-0000117
FAC-0001,2023-04-28,55,PARACETAMOL,109,CON-0000118
FAC-0001,2023-04-29,39,PARACETAMOL,64,CON-0000119
FAC-0001,2023-04-30,63,PARACETAMOL,107,CON-0000120
FAC-0001,2023-05-01,50,PARACETAMOL,112,CON-0000121
FAC-0001,2023-05-02,47,PARACETAMOL,71,CON-0000122
FAC-0001,2023-05-03,65,PARACETAMOL,117,CON-0000123
FAC-0001,2023-05-04,54,PARACETAMOL,104,CON-0000124
FAC-0001,2023-05-05,50,PARACETAMOL,94,CON-0000125
FAC-0001,2023-05-06,48,PARACETAMOL,83,CON-0000126
FAC-0001,2023-05-07,50,PARACETAMOL,88,CON-0000127
FAC-0001,2023-05-08,55,PARACETAMOL,89,CON-0000128
FAC-0001,2023-05-09,47,PARACETAMOL,79,CON-0000129
FAC-0001,2023-05-10,44,PARACETAMOL,86,CON-0000130
FAC-0001,2023-05-11,30,PARACETAMOL,45,CON-0000131
FAC-0001,2023-05-12,45,PARACETAMOL,93,CON-0000132
FAC-0001,2023-05-13,51,PARACETAMOL,92,CON-0000133
FAC-0001,2023-05-14,47,PARACETAMOL,92,CON-0000134
FAC-0001,2023-05-15,55,PARACETAMOL,91,CON-0000135
FAC-0001,2023-05-16,65,PARACETAMOL,99,CON-0000136
FAC-0001,2023-05-17,54,PARACETAMOL,102,CON-0000137
FAC-0001,2023-05-18,40,PARACETAMOL,76,CON-0000138
FAC-0001,2023-05-19,68,PARACETAMOL,140,CON-0000139
FAC-0001,2023-05-20,55,PARACETAMOL,102,CON-0000140
FAC-0001,2023-05-21,47,PARACETAMOL,80,CON-0000141
FAC-0001,2023-05-22,61,PARACETAMOL,107,CON-0000142
FAC-0001,2023-05-23,56,PARACETAMOL,77,CON-0000143
FAC-0001,2023-05-24,61,PARACETAMOL,115,CON-0000144
FAC-0001,2023-05-25,55,PARACETAMOL,103,CON-0000145
FAC-0001,2023-05-26,60,PARACETAMOL,107,CON-0000146
FAC-0001,2023-05-27,56,PARACETAMOL,104,CON-0000147
FAC-0001,2023-05-28,51,PARACETAMOL,83,CON-0000148
FAC-0001,2023-05-29,51,PARACETAMOL,85,CON-0000149
FAC-0001,2023-05-30,56,PARACETAMOL,87,CON-0000150
FAC-0001,2023-05-31,50,PARACETAMOL,88,CON-0000151
FAC-0001,2023-06-01,57,PARACETAMOL,92,CON-0000152
FAC-0001,2023-06-02,50,PARACETAMOL,88,CON-0000153
FAC-0001,2023-06-03,54,PARACETAMOL,110,CON-0000154
FAC-0001,2023-06-04,43,PARACETAMOL,83,CON-0000155
FAC-0001,2023-06-05,66,PARACETAMOL,123,CON-0000156
FAC-0001,2023-06-06,54,PARACETAMOL,117,CON-0000157
FAC-0001,2023-06-07,47,PARACETAMOL,88,CON-0000158
FAC-0001,2023-06-08,57,PARACETAMOL,109,CON-0000159
FAC-0001,2023-06-09,54,PARACETAMOL,100,CON-0000160
FAC-0001,2023-06-10,72,PARACETAMOL,168,CON-0000161
FAC-0001,2023-06-11,58,PARACETAMOL,117,CON-0000162
FAC-0001,2023-06-12,61,PARACETAMOL,151,CON-0000163
FAC-0001,2023-06-13,44,PARACETAMOL,80,CON-0000164
FAC-0001,2023-06-14,62,PARACETAMOL,159,CON-0000165
FAC-0001,2023-06-15,74,PARACETAMOL,184,CON-0000166
FAC-0001,2023-06-16,63,PARACETAMOL,148,CON-0000167
FAC-0001,2023-06-17,68,PARACETAMOL,158,CON-0000168
FAC-0001,2023-06-18,70,PARACETAMOL,147,CON-0000169
FAC-0001,2023-06-19,63,PARACETAMOL,157,CON-0000170
FAC-0001,2023-06-20,89,PARACETAMOL,196,CON-0000171
FAC-0001,2023-06-21,60,PARACETAMOL,142,CON-0000172
FAC-0001,2023-06-22,75,PARACETAMOL,155,CON-0000173
FAC-0001,2023-06-23,83,PARACETAMOL,227,CON-0000174
FAC-0001,2023-06-24,57,PARACETAMOL,169,CON-0000175
FAC-0001,2023-06-25,62,PARACETAMOL,149,CON-0000176
FAC-0001,2023-06-26,65,PARACETAMOL,157,CON-0000177
FAC-0001,2023-06-27,78,PARACETAMOL,196,CON-0000178
FAC-0001,2023-06-28,61,PARACETAMOL,172,CON-0000179
FAC-0001,2023-06-29,74,PARACETAMOL,199,CON-0000180
FAC-0001,2023-06-30,75,PARACETAMOL,194,CON-0000181
FAC-0001,2023-07-01,66,PARACETAMOL,187,CON-0000182
FAC-0001,2023-07-02,79,PARACETAMOL,210,CON-0000183
FAC-0001,2023-07-03,95,PARACETAMOL,304,CON-0000184
FAC-0001,2023-07-04,80,PARACETAMOL,228,CON-0000185
FAC-0001,2023-07-05,73,PARACETAMOL,207,CON-0000186
FAC-0001,2023-07-06,80,PARACETAMOL,202,CON-0000187
FAC-0001,2023-07-07,94,PARACETAMOL,294,CON-0000188
FAC-0001,2023-07-08,85,PARACETAMOL,275,CON-0000189
FAC-0001,2023-07-09,81,PARACETAMOL,237,CON-0000190
FAC-0001,2023-07-10,87,PARACETAMOL,228,CON-0000191
FAC-0001,2023-07-11,81,PARACETAMOL,251,CON-0000192
FAC-0001,2023-07-12,71,PARACETAMOL,207,CON-0000193
FAC-0001,2023-07-13,66,PARACETAMOL,188,CON-0000194
FAC-0001,2023-07-14,81,PARACETAMOL,206,CON-0000195
FAC-0001,2023-07-15,93,PARACETAMOL,282,CON-0000196
FAC-0001,2023-07-16,77,PARACETAMOL,253,CON-0000197
FAC-0001,2023-07-17,93,PARACETAMOL,266,CON-0000198
FAC-0001,2023-07-18,111,PARACETAMOL,362,CON-0000199
FAC-0001,2023-07-19,98,PARACETAMOL,305,CON-0000200
FAC-0001,2023-07-20,81,PARACETAMOL,257,CON-0000201
FAC-0001,2023-07-21,112,PARACETAMOL,341,CON-0000202
FAC-0001,2023-07-22,71,PARACETAMOL,222,CON-0000203
FAC-0001,2023-07-23,100,PARACETAMOL,345,CON-0000204
FAC-0001,2023-07-24,88,PARACETAMOL,276,CON-0000205
FAC-0001,2023-07-25,91,PARACETAMOL,300,CON-0000206
FAC-0001,2023-07-26,96,PARACETAMOL,294,CON-0000207
FAC-0001,2023-07-27,86,PARACETAMOL,248,CON-0000208
FAC-0001,2023-07-28,91,PARACETAMOL,308,CON-0000209
FAC-0001,2023-07-29,87,PARACETAMOL,254,CON-0000210
FAC-0001,2023-07-30,107,PARACETAMOL,361,CON-0000211
FAC-0001,2023-07-31,95,PARACETAMOL,318,CON-0000212
FAC-0001,2023-08-01,113,PARACETAMOL,361,CON-0000213
FAC-0001,2023-08-02,99,PARACETAMOL,364,CON-0000214
FAC-0001,2023-08-03,90,PARACETAMOL,306,CON-0000215
FAC-0001,2023-08-04,92,PARACETAMOL,333,CON-0000216
FAC-0001,2023-08-05,101,PARACETAMOL,323,CON-0000217
FAC-0001,2023-08-06,85,PARACETAMOL,290,CON-0000218
FAC-0001,2023-08-07,96,PARACETAMOL,299,CON-0000219
FAC-0001,2023-08-08,82,PARACETAMOL,273,CON-0000220
FAC-0001,2023-08-09,95,PARACETAMOL,336,CON-0000221
FAC-0001,2023-08-10,105,PARACETAMOL,358,CON-0000222
FAC-0001,2023-08-11,94,PARACETAMOL,339,CON-0000223
FAC-0001,2023-08-12,105,PARACETAMOL,322,CON-0000224
FAC-0001,2023-08-13,107,PARACETAMOL,431,CON-0000225
FAC-0001,2023-08-14,105,PARACETAMOL,415,CON-0000226
FAC-0001,2023-08-15,93,PARACETAMOL,331,CON-0000227
FAC-0001,2023-08-16,95,PARACETAMOL,318,CON-0000228
FAC-0001,2023-08-17,81,PARACETAMOL,264,CON-0000229
FAC-0001,2023-08-18,102,PARACETAMOL,369,CON-0000230
FAC-0001,2023-08-19,105,PARACETAMOL,382,CON-0000231
FAC-0001,2023-08-20,109,PARACETAMOL,399,CON-0000232
FAC-0001,2023-08-21,87,PARACETAMOL,287,CON-0000233
FAC-0001,2023-08-22,108,PARACETAMOL,389,CON-0000234
FAC-0001,2023-08-23,98,PARACETAMOL,306,CON-0000235
FAC-0001,2023-08-24,106,PARACETAMOL,384,CON-0000236
FAC-0001,2023-08-25,91,PARACETAMOL,302,CON-0000237
FAC-0001,2023-08-26,88,PARACETAMOL,264,CON-0000238
FAC-0001,2023-08-27,108,PARACETAMOL,379,CON-0000239
FAC-0001,2023-08-28,113,PARACETAMOL,349,CON-0000240
FAC-0001,2023-08-29,94,PARACETAMOL,301,CON-0000241
FAC-0001,2023-08-30,83,PARACETAMOL,295,CON-0000242
FAC-0001,2023-08-31,114,PARACETAMOL,448,CON-0000243
FAC-0001,2023-09-01,91,PARACETAMOL,286,CON-0000244
FAC-0001,2023-09-02,85,PARACETAMOL,271,CON-0000245
FAC-0001,2023-09-03,109,PARACETAMOL,423,CON-0000246
FAC-0001,2023-09-04,98,PARACETAMOL,385,CON-0000247
FAC-0001,2023-09-05,98,PARACETAMOL,318,CON-0000248
FAC-0001,2023-09-06,89,PARACETAMOL,303,CON-0000249
FAC-0001,2023-09-07,102,PARACETAMOL,385,CON-0000250
FAC-0001,2023-09-08,108,PARACETAMOL,370,CON-0000251
FAC-0001,2023-09-09,87,PARACETAMOL,273,CON-0000252
FAC-0001,2023-09-10,80,PARACETAMOL,273,CON-0000253
FAC-0001,2023-09-11,82,PARACETAMOL,276,CON-0000254
FAC-0001,2023-09-12,103,PARACETAMOL,329,CON-0000255
FAC-0001,2023-09-13,111,PARACETAMOL,407,CON-0000256
FAC-0001,2023-09-14,86,PARACETAMOL,295,CON-0000257
FAC-0001,2023-09-15,88,PARACETAMOL,282,CON-0000258
FAC-0001,2023-09-16,85,PARACETAMOL,300,CON-0000259
FAC-0001,2023-09-17,91,PARACETAMOL,310,CON-0000260
FAC-0001,2023-09-18,80,PARACETAMOL,265,CON-0000261
FAC-0001,2023-09-19,88,PARACETAMOL,289,CON-0000262
FAC-0001,2023-09-20,118,PARACETAMOL,401,CON-0000263
FAC-0001,2023-09-21,125,PARACETAMOL,455,CON-0000264
FAC-0001,2023-09-22,88,PARACETAMOL,315,CON-0000265
FAC-0001,2023-09-23,101,PARACETAMOL,387,CON-0000266
FAC-0001,2023-09-24,80,PARACETAMOL,246,CON-0000267
FAC-0001,2023-09-25,87,PARACETAMOL,306,CON-0000268
FAC-0001,2023-09-26,75,PARACETAMOL,243,CON-0000269
FAC-0001,2023-09-27,94,PARACETAMOL,315,CON-0000270
FAC-0001,2023-09-28,94,PARACETAMOL,306,CON-0000271
FAC-0001,2023-09-29,111,PARACETAMOL,440,CON-0000272
FAC-0001,2023-09-30,93,PARACETAMOL,332,CON-0000273
FAC-0001,2023-10-01,67,PARACETAMOL,198,CON-0000274
FAC-0001,2023-10-02,70,PARACETAMOL,217,CON-0000275
FAC-0001,2023-10-03,75,PARACETAMOL,234,CON-0000276
FAC-0001,2023-10-04,103,PARACETAMOL,357,CON-0000277
FAC-0001,2023-10-05,111,PARACETAMOL,348,CON-0000278
FAC-0001,2023-10-06,102,PARACETAMOL,323,CON-0000279
FAC-0001,2023-10-07,79,PARACETAMOL,210,CON-0000280
FAC-0001,2023-10-08,81,PARACETAMOL,266,CON-0000281
FAC-0001,2023-10-09,80,PARACETAMOL,267,CON-0000282
FAC-0001,2023-10-10,81,PARACETAMOL,273,CON-0000283
FAC-0001,2023-10-11,98,PARACETAMOL,297,CON-0000284
FAC-0001,2023-10-12,74,PARACETAMOL,236,CON-0000285
FAC-0001,2023-10-13,75,PARACETAMOL,257,CON-0000286
FAC-0001,2023-10-14,79,PARACETAMOL,238,CON-0000287
FAC-0001,2023-10-15,84,PARACETAMOL,252,CON-0000288
FAC-0001,2023-10-16,78,PARACETAMOL,240,CON-0000289
FAC-0001,2023-10-17,83,PARACETAMOL,248,CON-0000290
FAC-0001,2023-10-18,94,PARACETAMOL,288,CON-0000291
FAC-0001,2023-10-19,59,PARACETAMOL,144,CON-0000292
FAC-0001,2023-10-20,85,PARACETAMOL,253,CON-0000293
FAC-0001,2023-10-21,88,PARACETAMOL,256,CON-0000294
FAC-0001,2023-10-22,95,PARACETAMOL,279,CON-0000295
FAC-0001,2023-10-23,90,PARACETAMOL,250,CON-0000296
FAC-0001,2023-10-24,73,PARACETAMOL,177,CON-0000297
FAC-0001,2023-10-25,80,PARACETAMOL,215,CON-0000298
FAC-0001,2023-10-26,61,PARACETAMOL,160,CON-0000299
FAC-0001,2023-10-27,80,PARACETAMOL,192,CON-0000300
FAC-0001,2023-10-28,80,PARACETAMOL,227,CON-0000301
FAC-0001,2023-10-29,66,PARACETAMOL,182,CON-0000302
FAC-0001,2023-10-30,74,PARACETAMOL,172,CON-0000303
FAC-0001,2023-10-31,60,PARACETAMOL,141,CON-0000304
FAC-0001,2023-11-01,72,PARACETAMOL,163,CON-0000305
FAC-0001,2023-11-02,83,PARACETAMOL,250,CON-0000306
FAC-0001,2023-11-03,89,PARACETAMOL,248,CON-0000307
FAC-0001,2023-11-04,80,PARACETAMOL,223,CON-0000308
FAC-0001,2023-11-05,77,PARACETAMOL,186,CON-0000309
FAC-0001,2023-11-06,79,PARACETAMOL,212,CON-0000310
FAC-0001,2023-11-07,74,PARACETAMOL,198,CON-0000311
FAC-0001,2023-11-08,62,PARACETAMOL,153,CON-0000312
FAC-0001,2023-11-09,81,PARACETAMOL,191,CON-0000313
FAC-0001,2023-11-10,56,PARACETAMOL,116,CON-0000314
FAC-0001,2023-11-11,65,PARACETAMOL,144,CON-0000315
FAC-0001,2023-11-12,50,PARACETAMOL,94,CON-0000316
FAC-0001,2023-11-13,69,PARACETAMOL,183,CON-0000317
FAC-0001,2023-11-14,65,PARACETAMOL,117,CON-0000318
FAC-0001,2023-11-15,65,PARACETAMOL,136,CON-0000319
FAC-0001,2023-11-16,65,PARACETAMOL,121,CON-0000320
FAC-0001,2023-11-17,75,PARACETAMOL,168,CON-0000321
FAC-0001,2023-11-18,54,PARACETAMOL,128,CON-0000322
FAC-0001,2023-11-19,71,PARACETAMOL,168,CON-0000323
FAC-0001,2023-11-20,58,PARACETAMOL,129,CON-0000324
FAC-0001,2023-11-21,53,PARACETAMOL,93,CON-0000325
FAC-0001,2023-11-22,54,PARACETAMOL,107,CON-0000326
FAC-0001,2023-11-23,56,PARACETAMOL,91,CON-0000327
FAC-0001,2023-11-24,54,PARACETAMOL,80,CON-0000328
FAC-0001,2023-11-25,69,PARACETAMOL,147,CON-0000329
FAC-0001,2023-11-26,56,PARACETAMOL,98,CON-0000330
FAC-0001,2023-11-27,51,PARACETAMOL,106,CON-0000331
FAC-0001,2023-11-28,47,PARACETAMOL,96,CON-0000332
FAC-0001,2023-11-29,66,PARACETAMOL,118,CON-0000333
FAC-0001,2023-11-30,38,PARACETAMOL,64,CON-0000334
FAC-0001,2023-12-01,49,PARACETAMOL,77,CON-0000335
FAC-0001,2023-12-02,47,PARACETAMOL,81,CON-0000336
FAC-0001,2023-12-03,43,PARACETAMOL,76,CON-0000337
FAC-0001,2023-12-04,54,PARACETAMOL,98,CON-0000338
FAC-0001,2023-12-05,49,PARACETAMOL,83,CON-0000339
FAC-0001,2023-12-06,41,PARACETAMOL,70,CON-0000340
FAC-0001,2023-12-07,55,PARACETAMOL,98,CON-0000341
FAC-0001,2023-12-08,46,PARACETAMOL,86,CON-0000342
FAC-0001,2023-12-09,49,PARACETAMOL,89,CON-0000343
FAC-0001,2023-12-10,43,PARACETAMOL,81,CON-0000344
FAC-0001,2023-12-11,62,PARACETAMOL,119,CON-0000345
FAC-0001,2023-12-12,50,PARACETAMOL,99,CON-0000346
FAC-0001,2023-12-13,60,PARACETAMOL,132,CON-0000347
FAC-0001,2023-12-14,55,PARACETAMOL,94,CON-0000348
FAC-0001,2023-12-15,48,PARACETAMOL,91,CON-0000349
FAC-0001,2023-12-16,39,PARACETAMOL,72,CON-0000350
FAC-0001,2023-12-17,52,PARACETAMOL,110,CON-0000351
FAC-0001,2023-12-18,56,PARACETAMOL,107,CON-0000352
FAC-0001,2023-12-19,42,PARACETAMOL,78,CON-0000353
FAC-0001,2023-12-20,49,PARACETAMOL,84,CON-0000354
FAC-0001,2023-12-21,48,PARACETAMOL,87,CON-0000355
FAC-0001,2023-12-22,47,PARACETAMOL,83,CON-0000356
FAC-0001,2023-12-23,47,PARACETAMOL,74,CON-0000357
FAC-0001,2023-12-24,48,PARACETAMOL,74,CON-0000358
FAC-0001,2023-12-25,56,PARACETAMOL,95,CON-0000359
FAC-0001,2023-12-26,59,PARACETAMOL,85,CON-0000360
FAC-0001,2023-12-27,55,PARACETAMOL,104,CON-0000361
FAC-0001,2023-12-28,54,PARACETAMOL,95,CON-0000362
FAC-0001,2023-12-29,47,PARACETAMOL,75,CON-0000363
FAC-0001,2023-12-30,57,PARACETAMOL,99,CON-0000364
FAC-0001,2023-12-31,52,PARACETAMOL,103,CON-0000365
FAC-0002,2023-01-01,12,PARACETAMOL,13,CON-0000366
FAC-0002,2023-01-02,18,PARACETAMOL,31,CON-0000367
FAC-0002,2023-01-03,16,PARACETAMOL,28,CON-0000368
FAC-0002,2023-01-04,18,PARACETAMOL,28,CON-0000369
FAC-0002,2023-01-05,19,PARACETAMOL,31,CON-0000370
FAC-0002,2023-01-06,19,PARACETAMOL,38,CON-0000371
FAC-0002,2023-01-07,13,PARACETAMOL,31,CON-0000372
FAC-0002,2023-01-08,12,PARACETAMOL,21,CON-0000373
FAC-0002,2023-01-09,20,PARACETAMOL,47,CON-0000374
FAC-0002,2023-01-10,13,PARACETAMOL,29,CON-0000375
FAC-0002,2023-01-11,16,PARACETAMOL,36,CON-0000376
FAC-0002,2023-01-12,17,PARACETAMOL,27,CON-0000377
FAC-0002,2023-01-13,17,PARACETAMOL,30,CON-0000378
FAC-0002,2023-01-14,11,PARACETAMOL,17,CON-0000379
FAC-0002,2023-01-15,13,PARACETAMOL,20,CON-0000380
FAC-0002,2023-01-16,13,PARACETAMOL,21,CON-0000381
FAC-0002,2023-01-17,15,PARACETAMOL,23,CON-0000382
FAC-0002,2023-01-18,14,PARACETAMOL,25,CON-0000383
FAC-0002,2023-01-19,24,PARACETAMOL,41,CON-0000384
FAC-0002,2023-01-20,16,PARACETAMOL,34,CON-0000385
FAC-0002,2023-01-21,15,PARACETAMOL,23,CON-0000386
FAC-0002,2023-01-22,17,PARACETAMOL,41,CON-0000387
FAC-0002,2023-01-23,20,PARACETAMOL,31,CON-0000388
FAC-0002,2023-01-24,10,PARACETAMOL,21,CON-0000389
FAC-0002,2023-01-25,13,PARACETAMOL,22,CON-0000390
FAC-0002,2023-01-26,16,PARACETAMOL,28,CON-0000391
FAC-0002,2023-01-27,20,PARACETAMOL,29,CON-0000392
FAC-0002,2023-01-28,19,PARACETAMOL,33,CON-0000393
FAC-0002,2023-01-29,8,PARACETAMOL,10,CON-0000394
FAC-0002,2023-01-30,13,PARACETAMOL,19,CON-0000395
FAC-0002,2023-01-31,11,PARACETAMOL,22,CON-0000396
FAC-0002,2023-02-01,21,PARACETAMOL,36,CON-0000397
FAC-0002,2023-02-02,17,PARACETAMOL,30,CON-0000398
FAC-0002,2023-02-03,22,PARACETAMOL,30,CON-0000399
FAC-0002,2023-02-04,9,PARACETAMOL,13,CON-0000400
FAC-0002,2023-02-05,14,PARACETAMOL,22,CON-0000401
FAC-0002,2023-02-06,15,PARACETAMOL,21,CON-0000402
FAC-0002,2023-02-07,17,PARACETAMOL,33,CON-0000403
FAC-0002,2023-02-08,19,PARACETAMOL,39,CON-0000404
FAC-0002,2023-02-09,18,PARACETAMOL,32,CON-0000405
FAC-0002,2023-02-10,15,PARACETAMOL,27,CON-0000406
FAC-0002,2023-02-11,18,PARACETAMOL,39,CON-0000407
FAC-0002,2023-02-12,16,PARACETAMOL,30,CON-0000408
FAC-0002,2023-02-13,14,PARACETAMOL,34,CON-0000409
