facility_id,medicine_code,expected_delivery_date,actual_delivery_date,transit_delay_days,quantity_dispatched,delivery_id,delivery_status
FAC-0001,EPINEPHRINE,2023-12-27,2023-12-31,4,10,DEL-000039,Delayed
FAC-0002,PARACETAMOL,2023-01-01,2023-01-04,3,5000,DEL-000040,On-Time
FAC-0002,PARACETAMOL,2023-01-31,2023-02-17,17,5000,DEL-000041,Delayed
FAC-0002,PARACETAMOL,2023-03-02,2023-03-20,18,5000,DEL-000042,Delayed
FAC-0002,PARACETAMOL,2023-04-01,2023-04-15,14,5000,DEL-000043,Delayed
FAC-0002,PARACETAMOL,2023-05-01,2023-05-01,0,5000,DEL-000044,On-Time
FAC-0002,PARACETAMOL,2023-05-31,2023-06-14,14,5000,DEL-000045,Delayed
FAC-0002,PARACETAMOL,2023-06-30,2023-07-17,17,5000,DEL-000046,Delayed
FAC-0002,PARACETAMOL,2023-07-30,2023-08-13,14,5000,DEL-000047,Delayed
FAC-0002,PARACETAMOL,2023-08-29,2023-09-01,3,5000,DEL-000048,On-Time
FAC-0002,PARACETAMOL,2023-09-28,2023-10-02,4,5000,DEL-000049,Delayed
FAC-0002,PARACETAMOL,2023-10-28,2023-10-30,2,5000,DEL-000050,On-Time
FAC-0002,PARACETAMOL,2023-11-27,2023-12-01,4,5000,DEL-000051,Delayed
FAC-0002,PARACETAMOL,2023-12-27,2023-12-27,0,5000,DEL-000052,On-Time
FAC-0002,RIF_INH,2023-01-01,2023-01-03,2,800,DEL-000053,On-Time
FAC-0002,RIF_INH,2023-01-31,2023-02-17,17,800,DEL-000054,Delayed
FAC-0002,RIF_INH,2023-03-02,2023-04-23,52,800,DEL-000055,Delayed
FAC-0002,RIF_INH,2023-04-01,2023-04-08,7,800,DEL-000056,Delayed
FAC-0002,RIF_INH,2023-05-01,2023-05-04,3,800,DEL-000057,On-Time
FAC-0002,RIF_INH,2023-05-31,2023-06-05,5,800,DEL-000058,Delayed
FAC-0002,RIF_INH,2023-06-30,2023-07-04,4,800,DEL-000059,Delayed
FAC-0002,RIF_INH,2023-07-30,2023-07-31,1,800,DEL-000060,On-Time
FAC-0002,RIF_INH,2023-08-29,2023-09-12,14,800,DEL-000061,Delayed
FAC-0002,RIF_INH,2023-09-28,2023-10-16,18,800,DEL-000062,Delayed
FAC-0002,RIF_INH,2023-10-28,2023-11-16,19,800,DEL-000063,Delayed
FAC-0002,RIF_INH,2023-11-27,2024-02-05,70,800,DEL-000064,Delayed
FAC-0002,RIF_INH,2023-12-27,2024-01-23,27,800,DEL-000065,Delayed
FAC-0002,EPINEPHRINE,2023-01-01,2023-01-22,21,10,DEL-000066,Delayed
FAC-0002,EPINEPHRINE,2023-01-31,2023-02-13,13,10,DEL-000067,Delayed
FAC-0002,EPINEPHRINE,2023-03-02,2023-03-09,7,10,DEL-000068,Delayed
FAC-0002,EPINEPHRINE,2023-04-01,2023-04-01,0,10,DEL-000069,On-Time
FAC-0002,EPINEPHRINE,2023-05-01,2023-05-13,12,10,DEL-000070,Delayed
FAC-0002,EPINEPHRINE,2023-05-31,2023-06-08,8,10,DEL-000071,Delayed
FAC-0002,EPINEPHRINE,2023-06-30,2023-07-19,19,10,DEL-000072,Delayed
FAC-0002,EPINEPHRINE,2023-07-30,2023-08-25,26,10,DEL-000073,Delayed
FAC-0002,EPINEPHRINE,2023-08-29,2023-09-02,4,10,DEL-000074,Delayed
FAC-0002,EPINEPHRINE,2023-09-28,2023-09-28,0,10,DEL-000075,On-Time
FAC-0002,EPINEPHRINE,2023-10-28,2023-11-09,12,10,DEL-000076,Delayed
FAC-0002,EPINEPHRINE,2023-11-27,2023-12-30,33,10,DEL-000077,Delayed
FAC-0002,EPINEPHRINE,2023-12-27,2024-01-06,10,10,DEL-000078,Delayed
FAC-0003,PARACETAMOL,2023-01-01,2023-01-22,21,5000,DEL-000079,Delayed
FAC-0003,PARACETAMOL,2023-01-31,2023-02-07,7,5000,DEL-000080,Delayed
FAC-0003,PARACETAMOL,2023-03-02,2023-03-15,13,5000,DEL-000081,Delayed
FAC-0003,PARACETAMOL,2023-04-01,2023-04-03,2,5000,DEL-000082,On-Time
FAC-0003,PARACETAMOL,2023-05-01,2023-05-02,1,5000,DEL-000083,On-Time
FAC-0003,PARACETAMOL,2023-05-31,2023-06-01,1,5000,DEL-000084,On-Time
FAC-0003,PARACETAMOL,2023-06-30,2023-07-01,1,5000,DEL-000085,On-Time
FAC-0003,PARACETAMOL,2023-07-30,2023-07-30,0,5000,DEL-000086,On-Time
FAC-0003,PARACETAMOL,2023-08-29,2023-09-15,17,5000,DEL-000087,Delayed
FAC-0003,PARACETAMOL,2023-09-28,2023-10-02,4,5000,DEL-000088,Delayed
FAC-0003,PARACETAMOL,2023-10-28,2023-10-31,3,5000,DEL-000089,On-Time
FAC-0003,PARACETAMOL,2023-11-27,2023-12-06,9,5000,DEL-000090,Delayed
FAC-0003,PARACETAMOL,2023-12-27,2023-12-28,1,5000,DEL-000091,On-Time
FAC-0003,RIF_INH,2023-01-01,2023-01-20,19,800,DEL-000092,Delayed
FAC-0003,RIF_INH,2023-01-31,2023-02-13,13,800,DEL-000093,Delayed
FAC-0003,RIF_INH,2023-03-02,2023-03-05,3,800,DEL-000094,On-Time
FAC-0003,RIF_INH,2023-04-01,2023-04-03,2,800,DEL-000095,On-Time
FAC-0003,RIF_INH,2023-05-01,2023-05-06,5,800,DEL-000096,Delayed
FAC-0003,RIF_INH,2023-05-31,2023-06-03,3,800,DEL-000097,On-Time
FAC-0003,RIF_INH,2023-06-30,2023-06-30,0,800,DEL-000098,On-Time
FAC-0003,RIF_INH,2023-07-30,2023-08-04,5,800,DEL-000099,Delayed
FAC-0003,RIF_INH,2023-08-29,2023-09-20,22,800,DEL-000100,Delayed
FAC-0003,RIF_INH,2023-09-28,2023-10-08,10,800,DEL-000101,Delayed
FAC-0003,RIF_INH,2023-10-28,2023-11-28,31,800,DEL-000102,Delayed
FAC-0003,RIF_INH,2023-11-27,2023-12-17,20,800,DEL-000103,Delayed
FAC-0003,RIF_INH,2023-12-27,2024-01-07,11,800,DEL-000104,Delayed
FAC-0003,EPINEPHRINE,2023-01-01,2023-01-19,18,10,DEL-000105,Delayed
FAC-0003,EPINEPHRINE,2023-01-31,2023-02-07,7,10,DEL-000106,Delayed
FAC-0003,EPINEPHRINE,2023-03-02,2023-03-12,10,10,DEL-000107,Delayed
FAC-0003,EPINEPHRINE,2023-04-01,2023-04-04,3,10,DEL-000108,On-Time
FAC-0003,EPINEPHRINE,2023-05-01,2023-05-03,2,10,DEL-000109,On-Time
FAC-0003,EPINEPHRINE,2023-05-31,2023-06-21,21,10,DEL-000110,Delayed
FAC-0003,EPINEPHRINE,2023-06-30,2023-07-01,1,10,DEL-000111,On-Time
FAC-0003,EPINEPHRINE,2023-07-30,2023-07-31,1,10,DEL-000112,On-Time
FAC-0003,EPINEPHRINE,2023-08-29,2023-09-01,3,10,DEL-000113,On-Time
FAC-0003,EPINEPHRINE,2023-09-28,2023-10-07,9,10,DEL-000114,Delayed
FAC-0003,EPINEPHRINE,2023-10-28,2023-11-01,4,10,DEL-000115,Delayed
FAC-0003,EPINEPHRINE,2023-11-27,2023-12-03,6,10,DEL-000116,Delayed
FAC-0003,EPINEPHRINE,2023-12-27,2024-01-17,21,10,DEL-000117,Delayed
FAC-0004,PARACETAMOL,2023-01-01,2023-01-08,7,5000,DEL-000118,Delayed
FAC-0004,PARACETAMOL,2023-01-31,2023-02-05,5,5000,DEL-000119,Delayed
FAC-0004,PARACETAMOL,2023-03-02,2023-03-02,0,5000,DEL-000120,On-Time
FAC-0004,PARACETAMOL,2023-04-01,2023-04-07,6,5000,DEL-000121,Delayed
FAC-0004,PARACETAMOL,2023-05-01,2023-05-03,2,5000,DEL-000122,On-Time
FAC-0004,PARACETAMOL,2023-05-31,2023-05-31,0,5000,DEL-000123,On-Time
FAC-0004,PARACETAMOL,2023-06-30,2023-07-02,2,5000,DEL-000124,On-Time
FAC-0004,PARACETAMOL,2023-07-30,2023-07-30,0,5000,DEL-000125,On-Time
FAC-0004,PARACETAMOL,2023-08-29,2023-09-02,4,5000,DEL-000126,Delayed
FAC-0004,PARACETAMOL,2023-09-28,2023-10-02,4,5000,DEL-000127,Delayed
FAC-0004,PARACETAMOL,2023-10-28,2023-10-29,1,5000,DEL-000128,On-Time
FAC-0004,PARACETAMOL,2023-11-27,2023-11-27,0,5000,DEL-000129,On-Time
FAC-0004,PARACETAMOL,2023-12-27,2024-01-09,13,5000,DEL-000130,Delayed
FAC-0004,RIF_INH,2023-01-01,2023-01-05,4,800,DEL-000131,Delayed
FAC-0004,RIF_INH,2023-01-31,2023-02-07,7,800,DEL-000132,Delayed
FAC-0004,RIF_INH,2023-03-02,2023-03-03,1,800,DEL-000133,On-Time
FAC-0004,RIF_INH,2023-04-01,2023-04-09,8,800,DEL-000134,Delayed
FAC-0004,RIF_INH,2023-05-01,2023-05-09,8,800,DEL-000135,Delayed
FAC-0004,RIF_INH,2023-05-31,2023-05-31,0,800,DEL-000136,On-Time
FAC-0004,RIF_INH,2023-06-30,2023-07-27,27,800,DEL-000137,Delayed
FAC-0004,RIF_INH,2023-07-30,2023-08-02,3,800,DEL-000138,On-Time
FAC-0004,RIF_INH,2023-08-29,2023-09-05,7,800,DEL-000139,Delayed
FAC-0004,RIF_INH,2023-09-28,2023-09-29,1,800,DEL-000140,On-Time
FAC-0004,RIF_INH,2023-10-28,2023-11-02,5,800,DEL-000141,Delayed
FAC-0004,RIF_INH,2023-11-27,2023-11-28,1,800,DEL-000142,On-Time
FAC-0004,RIF_INH,2023-12-27,2024-01-04,8,800,DEL-000143,Delayed
FAC-0004,EPINEPHRINE,2023-01-01,2023-01-03,2,10,DEL-000144,On-Time
FAC-0004,EPINEPHRINE,2023-01-31,2023-02-03,3,10,DEL-000145,On-Time
FAC-0004,EPINEPHRINE,2023-03-02,2023-03-04,2,10,DEL-000146,On-Time
FAC-0004,EPINEPHRINE,2023-04-01,2023-04-04,3,10,DEL-000147,On-Time
FAC-0004,EPINEPHRINE,2023-05-01,2023-05-03,2,10,DEL-000148,On-Time
FAC-0004,EPINEPHRINE,2023-05-31,2023-06-03,3,10,DEL-000149,On-Time
FAC-0004,EPINEPHRINE,2023-06-30,2023-06-30,0,10,DEL-000150,On-Time
FAC-0004,EPINEPHRINE,2023-07-30,2023-08-07,8,10,DEL-000151,Delayed
FAC-0004,EPINEPHRINE,2023-08-29,2023-09-10,12,10,DEL-000152,Delayed
FAC-0004,EPINEPHRINE,2023-09-28,2023-09-30,2,10,DEL-000153,On-Time
FAC-0004,EPINEPHRINE,2023-10-28,2023-11-14,17,10,DEL-000154,Delayed
FAC-0004,EPINEPHRINE,2023-11-27,2023-11-27,0,10,DEL-000155,On-Time
FAC-0004,EPINEPHRINE,2023-12-27,2024-01-10,14,10,DEL-000156,Delayed
FAC-0005,PARACETAMOL,2023-01-01,2023-01-06,5,5000,DEL-000157,Delayed
FAC-0005,PARACETAMOL,2023-01-31,2023-02-10,10,5000,DEL-000158,Delayed
FAC-0005,PARACETAMOL,2023-03-02,2023-04-07,36,5000,DEL-000159,Delayed
FAC-0005,PARACETAMOL,2023-04-01,2023-04-02,1,5000,DEL-000160,On-Time
FAC-0005,PARACETAMOL,2023-05-01,2023-05-03,2,5000,DEL-000161,On-Time
FAC-0005,PARACETAMOL,2023-05-31,2023-06-20,20,5000,DEL-000162,Delayed
FAC-0005,PARACETAMOL,2023-06-30,2023-07-14,14,5000,DEL-000163,Delayed
FAC-0005,PARACETAMOL,2023-07-30,2023-08-03,4,5000,DEL-000164,Delayed
FAC-0005,PARACETAMOL,2023-08-29,2023-09-04,6,5000,DEL-000165,Delayed
FAC-0005,PARACETAMOL,2023-09-28,2023-10-09,11,5000,DEL-000166,Delayed
FAC-0005,PARACETAMOL,2023-10-28,2023-11-25,28,5000,DEL-000167,Delayed
FAC-0005,PARACETAMOL,2023-11-27,2023-12-02,5,5000,DEL-000168,Delayed
FAC-0005,PARACETAMOL,2023-12-27,2024-01-07,11,5000,DEL-000169,Delayed
FAC-0005,RIF_INH,2023-01-01,2023-01-06,5,800,DEL-000170,Delayed
FAC-0005,RIF_INH,2023-01-31,2023-02-04,4,800,DEL-000171,Delayed
FAC-0005,RIF_INH,2023-03-02,2023-04-03,32,800,DEL-000172,Delayed
FAC-0005,RIF_INH,2023-04-01,2023-04-09,8,800,DEL-000173,Delayed
FAC-0005,RIF_INH,2023-05-01,2023-05-21,20,800,DEL-000174,Delayed
FAC-0005,RIF_INH,2023-05-31,2023-06-04,4,800,DEL-000175,Delayed
FAC-0005,RIF_INH,2023-06-30,2023-07-02,2,800,DEL-000176,On-Time
FAC-0005,RIF_INH,2023-07-30,2023-08-16,17,800,DEL-000177,Delayed
FAC-0005,RIF_INH,2023-08-29,2023-09-19,21,800,DEL-000178,Delayed
FAC-0005,RIF_INH,2023-09-28,2023-10-12,14,800,DEL-000179,Delayed
FAC-0005,RIF_INH,2023-10-28,2023-11-14,17,800,DEL-000180,Delayed
FAC-0005,RIF_INH,2023-11-27,2023-12-12,15,800,DEL-000181,Delayed
FAC-0005,RIF_INH,2023-12-27,2024-01-12,16,800,DEL-000182,Delayed
FAC-0005,EPINEPHRINE,2023-01-01,2023-02-04,34,10,DEL-000183,Delayed
FAC-0005,EPINEPHRINE,2023-01-31,2023-03-14,42,10,DEL-000184,Delayed
FAC-0005,EPINEPHRINE,2023-03-02,2023-03-11,9,10,DEL-000185,Delayed
FAC-0005,EPINEPHRINE,2023-04-01,2023-04-02,1,10,DEL-000186,On-Time
FAC-0005,EPINEPHRINE,2023-05-01,2023-05-22,21,10,DEL-000187,Delayed
FAC-0005,EPINEPHRINE,2023-05-31,2023-06-12,12,10,DEL-000188,Delayed
FAC-0005,EPINEPHRINE,2023-06-30,2023-08-05,36,10,DEL-000189,Delayed
FAC-0005,EPINEPHRINE,2023-07-30,2023-08-14,15,10,DEL-000190,Delayed
FAC-0005,EPINEPHRINE,2023-08-29,2023-08-31,2,10,DEL-000191,On-Time
FAC-0005,EPINEPHRINE,2023-09-28,2023-10-13,15,10,DEL-000192,Delayed
FAC-0005,EPINEPHRINE,2023-10-28,2023-11-05,8,10,DEL-000193,Delayed
FAC-0005,EPINEPHRINE,2023-11-27,2023-11-28,1,10,DEL-000194,On-Time
FAC-0005,EPINEPHRINE,2023-12-27,2023-12-31,4,10,DEL-000195,Delayed
FAC-0006,PARACETAMOL,2023-01-01,2023-01-14,13,5000,DEL-000196,Delayed
FAC-0006,PARACETAMOL,2023-01-31,2023-02-01,1,5000,DEL-000197,On-Time
FAC-0006,PARACETAMOL,2023-03-02,2023-03-03,1,5000,DEL-000198,On-Time
FAC-0006,PARACETAMOL,2023-04-01,2023-04-02,1,5000,DEL-000199,On-Time
FAC-0006,PARACETAMOL,2023-05-01,2023-05-09,8,5000,DEL-000200,Delayed
FAC-0006,PARACETAMOL,2023-05-31,2023-06-04,4,5000,DEL-000201,Delayed
FAC-0006,PARACETAMOL,2023-06-30,2023-06-30,0,5000,DEL-000202,On-Time
FAC-0006,PARACETAMOL,2023-07-30,2023-07-30,0,5000,DEL-000203,On-Time
FAC-0006,PARACETAMOL,2023-08-29,2023-08-30,1,5000,DEL-000204,On-Time
FAC-0006,PARACETAMOL,2023-09-28,2023-09-28,0,5000,DEL-000205,On-Time
FAC-0006,PARACETAMOL,2023-10-28,2023-11-05,8,5000,DEL-000206,Delayed
FAC-0006,PARACETAMOL,2023-11-27,2023-11-27,0,5000,DEL-000207,On-Time
FAC-0006,PARACETAMOL,2023-12-27,2023-12-29,2,5000,DEL-000208,On-Time
FAC-0006,RIF_INH,2023-01-01,2023-01-05,4,800,DEL-000209,Delayed
FAC-0006,RIF_INH,2023-01-31,2023-02-11,11,800,DEL-000210,Delayed
FAC-0006,RIF_INH,2023-03-02,2023-03-03,1,800,DEL-000211,On-Time
FAC-0006,RIF_INH,2023-04-01,2023-04-07,6,800,DEL-000212,Delayed
FAC-0006,RIF_INH,2023-05-01,2023-05-04,3,800,DEL-000213,On-Time
FAC-0006,RIF_INH,2023-05-31,2023-06-06,6,800,DEL-000214,Delayed
FAC-0006,RIF_INH,2023-06-30,2023-07-01,1,800,DEL-000215,On-Time
FAC-0006,RIF_INH,2023-07-30,2023-07-31,1,800,DEL-000216,On-Time
FAC-0006,RIF_INH,2023-08-29,2023-08-30,1,800,DEL-000217,On-Time
FAC-0006,RIF_INH,2023-09-28,2023-10-02,4,800,DEL-000218,Delayed
FAC-0006,RIF_INH,2023-10-28,2023-10-30,2,800,DEL-000219,On-Time
FAC-0006,RIF_INH,2023-11-27,2023-11-30,3,800,DEL-000220,On-Time
FAC-0006,RIF_INH,2023-12-27,2024-01-01,5,800,DEL-000221,Delayed
FAC-0006,EPINEPHRINE,2023-01-01,2023-01-05,4,10,DEL-000222,Delayed
FAC-0006,EPINEPHRINE,2023-01-31,2023-02-04,4,10,DEL-000223,Delayed
FAC-0006,EPINEPHRINE,2023-03-02,2023-03-07,5,10,DEL-000224,Delayed
FAC-0006,EPINEPHRINE,2023-04-01,2023-04-01,0,10,DEL-000225,On-Time
FAC-0006,EPINEPHRINE,2023-05-01,2023-05-06,5,10,DEL-000226,Delayed
FAC-0006,EPINEPHRINE,2023-05-31,2023-06-05,5,10,DEL-000227,Delayed
FAC-0006,EPINEPHRINE,2023-06-30,2023-07-01,1,10,DEL-000228,On-Time
FAC-0006,EPINEPHRINE,2023-07-30,2023-07-30,0,10,DEL-000229,On-Time
FAC-0006,EPINEPHRINE,2023-08-29,2023-08-31,2,10,DEL-000230,On-Time
FAC-0006,EPINEPHRINE,2023-09-28,2023-10-06,8,10,DEL-000231,Delayed
FAC-0006,EPINEPHRINE,2023-10-28,2023-10-29,1,10,DEL-000232,On-Time
FAC-0006,EPINEPHRINE,2023-11-27,2023-12-02,5,10,DEL-000233,Delayed
FAC-0006,EPINEPHRINE,2023-12-27,2024-01-07,11,10,DEL-000234,Delayed
FAC-0007,PARACETAMOL,2023-01-01,2023-01-04,3,5000,DEL-000235,On-Time
FAC-0007,PARACETAMOL,2023-01-31,2023-03-07,35,5000,DEL-000236,Delayed
FAC-0007,PARACETAMOL,2023-03-02,2023-03-02,0,5000,DEL-000237,On-Time
FAC-0007,PARACETAMOL,2023-04-01,2023-04-01,0,5000,DEL-000238,On-Time
FAC-0007,PARACETAMOL,2023-05-01,2023-05-16,15,5000,DEL-000239,Delayed
FAC-0007,PARACETAMOL,2023-05-31,2023-06-05,5,5000,DEL-000240,Delayed
FAC-0007,PARACETAMOL,2023-06-30,2023-07-04,4,5000,DEL-000241,Delayed
FAC-0007,PARACETAMOL,2023-07-30,2023-08-14,15,5000,DEL-000242,Delayed
FAC-0007,PARACETAMOL,2023-08-29,2023-09-18,20,5000,DEL-000243,Delayed
FAC-0007,PARACETAMOL,2023-09-28,2023-10-04,6,5000,DEL-000244,Delayed
FAC-0007,PARACETAMOL,2023-10-28,2023-11-14,17,5000,DEL-000245,Delayed
FAC-0007,PARACETAMOL,2023-11-27,2023-12-05,8,5000,DEL-000246,Delayed
FAC-0007,PARACETAMOL,2023-12-27,2023-12-31,4,5000,DEL-000247,Delayed
FAC-0007,RIF_INH,2023-01-01,2023-01-02,1,800,DEL-000248,On-Time
FAC-0007,RIF_INH,2023-01-31,2023-02-11,11,800,DEL-000249,Delayed
FAC-0007,RIF_INH,2023-03-02,2023-03-19,17,800,DEL-000250,Delayed
FAC-0007,RIF_INH,2023-04-01,2023-04-22,21,800,DEL-000251,Delayed
FAC-0007,RIF_INH,2023-05-01,2023-05-03,2,800,DEL-000252,On-Time
FAC-0007,RIF_INH,2023-05-31,2023-06-08,8,800,DEL-000253,Delayed
FAC-0007,RIF_INH,2023-06-30,2023-07-04,4,800,DEL-000254,Delayed
FAC-0007,RIF_INH,2023-07-30,2023-08-12,13,800,DEL-000255,Delayed
FAC-0007,RIF_INH,2023-08-29,2023-08-30,1,800,DEL-000256,On-Time
FAC-0007,RIF_INH,2023-09-28,2023-09-28,0,800,DEL-000257,On-Time
FAC-0007,RIF_INH,2023-10-28,2023-10-30,2,800,DEL-000258,On-Time
FAC-0007,RIF_INH,2023-11-27,2023-11-27,0,800,DEL-000259,On-Time
FAC-0007,RIF_INH,2023-12-27,2023-12-30,3,800,DEL-000260,On-Time
FAC-0007,EPINEPHRINE,2023-01-01,2023-01-04,3,10,DEL-000261,On-Time
FAC-0007,EPINEPHRINE,2023-01-31,2023-01-31,0,10,DEL-000262,On-Time
FAC-0007,EPINEPHRINE,2023-03-02,2023-03-27,25,10,DEL-000263,Delayed
FAC-0007,EPINEPHRINE,2023-04-01,2023-04-03,2,10,DEL-000264,On-Time
FAC-0007,EPINEPHRINE,2023-05-01,2023-05-10,9,10,DEL-000265,Delayed
FAC-0007,EPINEPHRINE,2023-05-31,2023-06-01,1,10,DEL-000266,On-Time
FAC-0007,EPINEPHRINE,2023-06-30,2023-07-04,4,10,DEL-000267,Delayed
FAC-0007,EPINEPHRINE,2023-07-30,2023-07-30,0,10,DEL-000268,On-Time
FAC-0007,EPINEPHRINE,2023-08-29,2023-08-29,0,10,DEL-000269,On-Time
FAC-0007,EPINEPHRINE,2023-09-28,2023-09-28,0,10,DEL-000270,On-Time
FAC-0007,EPINEPHRINE,2023-10-28,2023-11-10,13,10,DEL-000271,Delayed
FAC-0007,EPINEPHRINE,2023-11-27,2023-11-29,2,10,DEL-000272,On-Time
FAC-0007,EPINEPHRINE,2023-12-27,2024-01-01,5,10,DEL-000273,Delayed
FAC-0008,PARACETAMOL,2023-01-01,2023-01-04,3,5000,DEL-000274,On-Time
FAC-0008,PARACETAMOL,2023-01-31,2023-01-31,0,5000,DEL-000275,On-Time
FAC-0008,PARACETAMOL,2023-03-02,2023-03-14,12,5000,DEL-000276,Delayed
FAC-0008,PARACETAMOL,2023-04-01,2023-04-03,2,5000,DEL-000277,On-Time
FAC-0008,PARACETAMOL,2023-05-01,2023-05-01,0,5000,DEL-000278,On-Time
FAC-0008,PARACETAMOL,2023-05-31,2023-05-31,0,5000,DEL-000279,On-Time
FAC-0008,PARACETAMOL,2023-06-30,2023-07-02,2,5000,DEL-000280,On-Time
FAC-0008,PARACETAMOL,2023-07-30,2023-07-30,0,5000,DEL-000281,On-Time
FAC-0008,PARACETAMOL,2023-08-29,2023-08-30,1,5000,DEL-000282,On-Time
FAC-0008,PARACETAMOL,2023-09-28,2023-10-01,3,5000,DEL-000283,On-Time
FAC-0008,PARACETAMOL,2023-10-28,2023-10-28,0,5000,DEL-000284,On-Time
FAC-0008,PARACETAMOL,2023-11-27,2023-11-28,1,5000,DEL-000285,On-Time
FAC-0008,PARACETAMOL,2023-12-27,2024-01-02,6,5000,DEL-000286,Delayed
FAC-0008,RIF_INH,2023-01-01,2023-01-01,0,800,DEL-000287,On-Time
FAC-0008,RIF_INH,2023-01-31,2023-02-04,4,800,DEL-000288,Delayed
FAC-0008,RIF_INH,2023-03-02,2023-03-02,0,800,DEL-000289,On-Time
FAC-0008,RIF_INH,2023-04-01,2023-04-12,11,800,DEL-000290,Delayed
FAC-0008,RIF_INH,2023-05-01,2023-05-02,1,800,DEL-000291,On-Time
FAC-0008,RIF_INH,2023-05-31,2023-06-01,1,800,DEL-000292,On-Time
FAC-0008,RIF_INH,2023-06-30,2023-07-04,4,800,DEL-000293,Delayed
FAC-0008,RIF_INH,2023-07-30,2023-08-08,9,800,DEL-000294,Delayed
FAC-0008,RIF_INH,2023-08-29,2023-09-12,14,800,DEL-000295,Delayed
FAC-0008,RIF_INH,2023-09-28,2023-10-04,6,800,DEL-000296,Delayed
FAC-0008,RIF_INH,2023-10-28,2023-11-04,7,800,DEL-000297,Delayed
FAC-0008,RIF_INH,2023-11-27,2023-12-01,4,800,DEL-000298,Delayed
FAC-0008,RIF_INH,2023-12-27,2023-12-27,0,800,DEL-000299,On-Time
FAC-0008,EPINEPHRINE,2023-01-01,2023-01-06,5,10,DEL-000300,Delayed
FAC-0008,EPINEPHRINE,2023-01-31,2023-01-31,0,10,DEL-000301,On-Time
FAC-0008,EPINEPHRINE,2023-03-02,2023-03-06,4,10,DEL-000302,Delayed
